Myln {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4499.0, 'avg_deduct': 'TBA'}
Jambi {'ratio': 1.55, 'most_spent': 5500.0, 'biggest_cut': 3119.0, 'avg_deduct': 'TBA'}
Pxy {'ratio': 0.47, 'most_spent': 5000.0, 'biggest_cut': 4748.0, 'avg_deduct': 'TBA'}
Catschen {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6258.0, 'avg_deduct': 'TBA'}
Tusqer {'ratio': 7.45, 'most_spent': 98000.0, 'biggest_cut': 8474.0, 'avg_deduct': 'TBA'}
Nickxie {'ratio': 0.35, 'most_spent': 9000.0, 'biggest_cut': 8062.0, 'avg_deduct': 'TBA'}
Oinkipoink {'ratio': 0.13, 'most_spent': 2500.0, 'biggest_cut': 7736.0, 'avg_deduct': 'TBA'}
Dejlia {'ratio': 0, 'most_spent': 0, 'biggest_cut': 7736.0, 'avg_deduct': 'TBA'}
Rnw {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6255.0, 'avg_deduct': 'TBA'}
Pendsito {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5955.0, 'avg_deduct': 'TBA'}
Anykey {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4831.0, 'avg_deduct': 'TBA'}
Lightgodx {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5144.0, 'avg_deduct': 'TBA'}
Prodor {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4646.0, 'avg_deduct': 'TBA'}
Vendorbait {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5088.0, 'avg_deduct': 'TBA'}
Hips {'ratio': 1.59, 'most_spent': 17000.0, 'biggest_cut': 4736.0, 'avg_deduct': 'TBA'}
Tizanidin {'ratio': 5.4, 'most_spent': 18000.0, 'biggest_cut': 3335.0, 'avg_deduct': 'TBA'}
Kankan {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4748.0, 'avg_deduct': 'TBA'}
Katashi {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3508.0, 'avg_deduct': 'TBA'}
Habiibi {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2909.0, 'avg_deduct': 'TBA'}
Tusqai {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2468.0, 'avg_deduct': 'TBA'}
Samo {'ratio': 1.25, 'most_spent': 3000.0, 'biggest_cut': 2093.0, 'avg_deduct': 'TBA'}
Flicnlic {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2714.0, 'avg_deduct': 'TBA'}
Eoria {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1964.0, 'avg_deduct': 'TBA'}
Dontworri {'ratio': 11.51, 'most_spent': 22511.0, 'biggest_cut': 1537.0, 'avg_deduct': 'TBA'}
Inthebin {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5156.0, 'avg_deduct': 'TBA'}
Cocostegui {'ratio': 1.99, 'most_spent': 13000.0, 'biggest_cut': 3706.0, 'avg_deduct': 'TBA'}
Aye {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2269.0, 'avg_deduct': 'TBA'}
Lilzelts {'ratio': 1.41, 'most_spent': 12000.0, 'biggest_cut': 4698.0, 'avg_deduct': 'TBA'}
Exile {'ratio': 4.86, 'most_spent': 24500.0, 'biggest_cut': 4923.0, 'avg_deduct': 'TBA'}
Cocosteguii {'ratio': 2.58, 'most_spent': 3000.0, 'biggest_cut': 1164.0, 'avg_deduct': 'TBA'}
Whoopwhoopz {'ratio': 6.93, 'most_spent': 10000.0, 'biggest_cut': 1281.0, 'avg_deduct': 'TBA'}
Tulsadoom {'ratio': 0.44, 'most_spent': 7000.0, 'biggest_cut': 3563.0, 'avg_deduct': 'TBA'}
Akagamii {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1010.0, 'avg_deduct': 'TBA'}
Mechayap {'ratio': 4.85, 'most_spent': 20000.0, 'biggest_cut': 3295.0, 'avg_deduct': 'TBA'}
Younglock {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3873.0, 'avg_deduct': 'TBA'}
